State,District,Date,tempmax,tempmin,temp,dew,humidity,precip,precipprob,windgust,windspeed,solarradiation,uvindex
Delhi,Delhi,28-10-2023,87.7,66.1,77.2,50.5,42.6,0.0,0.0,8.1,4.7,160.9,6
Delhi,Delhi,29-10-2023,91.7,76.4,83.4,42.3,23.9,0.0,0.0,9.4,5.8,185.0,7
Delhi,Delhi,30-10-2023,92.2,76.0,83.7,47.6,29.2,0.0,0.0,11.0,6.0,186.9,7
Delhi,Delhi,31-10-2023,92.6,77.1,84.2,49.8,31.1,0.0,0.0,12.8,6.9,181.8,7
Delhi,Delhi,01-11-2023,92.2,77.1,84.3,50.2,31.8,0.0,0.0,10.1,6.5,182.0,7
Delhi,Delhi,02-11-2023,92.7,77.8,84.7,47.6,28.9,0.0,0.0,9.4,6.7,208.3,6
Delhi,Delhi,03-11-2023,92.9,77.6,84.3,41.3,22.5,0.0,0.0,12.5,6.9,181.9,6
Delhi,Delhi,04-11-2023,93.3,77.6,84.5,40.0,21.4,0.0,9.5,8.9,4.0,177.4,6
Delhi,Delhi,05-11-2023,92.9,77.6,85.0,41.9,22.5,0.0,28.6,10.4,5.6,177.5,6
Delhi,Delhi,06-11-2023,92.9,77.3,84.5,43.7,24.8,0.0,4.8,10.7,6.0,176.8,6
Delhi,Delhi,07-11-2023,92.0,76.9,84.1,43.2,24.7,0.0,9.5,7.2,5.4,169.0,6
Delhi,Delhi,08-11-2023,92.2,75.8,83.6,41.3,23.2,0.0,4.8,9.2,5.6,173.1,6
Delhi,Delhi,09-11-2023,91.8,76.6,83.7,40.9,22.5,0.0,4.8,9.4,4.9,171.5,6
Delhi,Delhi,10-11-2023,93.1,77.1,84.3,41.4,22.5,0.0,19.0,8.4,5.4,170.0,6
Delhi,Delhi,11-11-2023,92.2,77.4,83.9,42.8,23.9,0.0,19.0,20.3,8.1,168.3,6
Maharashtra,Solapur,28-10-2023,89.1,68.4,78.2,47.4,35.7,0.0,0.0,24.2,13.2,265.8,9
Maharashtra,Solapur,29-10-2023,90.6,68.4,79.1,50.6,38.3,0.0,0.0,26.6,14.5,258.5,9
Maharashtra,Solapur,30-10-2023,91.1,70.1,80.3,52.9,39.8,0.0,0.0,26.2,16.1,254.3,9
Maharashtra,Solapur,31-10-2023,91.1,70.2,80.1,53.0,40.5,0.0,0.0,25.3,14.1,253.1,9
Maharashtra,Solapur,01-11-2023,91.1,69.7,79.7,52.9,40.9,0.0,0.0,23.7,13.4,252.9,9
Maharashtra,Solapur,02-11-2023,91.8,70.2,80.0,53.4,41.4,0.0,0.0,21.0,12.5,279.0,8
